,Day,group1,group2,p_value
604,6-Nov,control restriction,HFHS ad lib,0.0022653203381679896
605,6-Nov,control restriction,HFHS restriction,0.002359099364057514
606,6-Nov,HFHS ad lib,control ad lib,0.05083309918606612
607,6-Nov,HFHS ad lib,control restriction,0.0022653203381679896
608,6-Nov,HFHS ad lib,HFHS restriction,0.4426169572366008
609,6-Nov,HFHS restriction,control ad lib,0.05598067713187416
610,6-Nov,HFHS restriction,control restriction,0.002359099364057514
611,6-Nov,HFHS restriction,HFHS ad lib,0.4426169572366008
612,7-Nov,control ad lib,control restriction,0.031639753570427476
613,7-Nov,control ad lib,HFHS ad lib,0.06791668408417749
614,7-Nov,control ad lib,HFHS restriction,0.05598067713187416
615,7-Nov,control restriction,control ad lib,0.031639753570427476
616,7-Nov,control restriction,HFHS ad lib,0.0030338920618032113
617,7-Nov,control restriction,HFHS restriction,0.0017757324038530362
618,7-Nov,HFHS ad lib,control ad lib,0.06791668408417749
619,7-Nov,HFHS ad lib,control restriction,0.0030338920618032113
620,7-Nov,HFHS ad lib,HFHS restriction,0.40494706521423735
621,7-Nov,HFHS restriction,control ad lib,0.05598067713187416
622,7-Nov,HFHS restriction,control restriction,0.0017757324038530362
623,7-Nov,HFHS restriction,HFHS ad lib,0.40494706521423735
624,8-Nov,control ad lib,control restriction,0.031639753570427476
625,8-Nov,control ad lib,HFHS ad lib,0.056175598845231926
626,8-Nov,control ad lib,HFHS restriction,0.07863768028812261
627,8-Nov,control restriction,control ad lib,0.031639753570427476
628,8-Nov,control restriction,HFHS ad lib,0.0022162391385341764
629,8-Nov,control restriction,HFHS restriction,0.002034345970279693
630,8-Nov,HFHS ad lib,control ad lib,0.056175598845231926
631,8-Nov,HFHS ad lib,control restriction,0.0022162391385341764
632,8-Nov,HFHS ad lib,HFHS restriction,0.40494706521423735
633,8-Nov,HFHS restriction,control ad lib,0.07863768028812261
634,8-Nov,HFHS restriction,control restriction,0.002034345970279693
635,8-Nov,HFHS restriction,HFHS ad lib,0.40494706521423735
636,9-Nov,control ad lib,control restriction,0.0385414440766041
